"nt"	"nds"
1	3958.8270174211907
2	4238.464766626261
3	4243.68585500196
4	3968.9482503956715
5	3529.2573170209193
6	3166.403222814346
7	2839.928239921436
8	2575.904009331286
9	2374.353211526803
10	2236.705951469803
11	2167.9592623262192
12	2229.676800089704
13	2306.266065549338
14	2373.3183267336894
15	2415.9503547378067
16	2428.059953676951
17	2412.64142393151
18	2383.238601721635
19	2596.9892514124012
20	2880.871127150349
21	3230.5163810722433
22	3688.240070326409
23	4058.495707024777
24	4023.3580221959014
25	3614.852867056364
26	3194.6839840094476
27	2843.4967486153664
28	2559.432050785347
29	2348.019442882079
30	2288.600324949099
31	2160.563579048931
32	2225.4209426394705
33	2362.3366688326187
34	2565.3159173453464
35	2832.369607678206
36	3163.7400187970193
