"nt"	"nds"
1	2472.5963187469206
2	2133.681956300657
3	1852.1792239124518
4	1629.7137535373502
5	1466.9223441732156
6	1364.2895078166634
7	1322.6083469519547
8	1344.101887499188
9	1438.4114948980027
10	1607.896970061051
11	1845.0970939801712
12	2134.6062930929324
13	2321.224856498808
14	2331.3074231546016
15	2160.467059490032
16	1873.2941851358296
17	1619.4363918977713
18	1449.1812510149302
19	1412.206455635569
20	1345.499259429482
21	1325.9196084201037
22	1367.8385088286625
23	1470.295455076915
24	1632.8280751943641
25	1855.0373963977393
26	2136.3082806818666
27	2475.0184182140733
