"nt"	"nds"
1	5410.13834179635
2	4867.706148173947
3	4384.569246289645
4	3963.4999083176663
5	3607.564355580439
6	3323.67587368995
7	3352.1542217320266
8	3354.0356461539195
9	3309.8751493346963
10	3218.0048028271613
11	3091.0791889225247
12	2956.169372870408
13	2857.021509357238
14	2906.89436515504
15	3030.508029554641
16	3271.7300410623543
17	3411.817937299935
18	3717.484582076513
19	4086.954685864842
20	4519.4396664756605
21	5037.692557083258
22	5498.178927585336
23	5491.504091268362
24	5024.012711603316
25	4512.835083451423
26	4080.1016545093726
27	3710.4256293462513
28	3404.6540282431547
29	3257.14745575909
30	3023.864208250436
31	2901.600337639038
32	2854.1009940466956
33	3002.1178309999477
34	3171.645589002598
35	3271.76373546368
36	3298.8431452583436
37	3582.1629507412463
38	3938.2932333324798
39	4360.2216941698025
40	4844.453168707303
41	5388.024487979227
