"nt"	"nds"
1	18408.888311474555
2	17159.16121577532
3	15980.816523925505
4	14878.348887964978
5	13857.054432538825
6	12924.293746102072
7	12091.614685217355
8	11380.495084933169
9	11249.290628905857
10	11040.183177430517
11	10763.189267887854
12	10453.915084729997
13	10168.995906690901
14	9976.535210532404
15	9816.298765542228
16	9756.332679033467
17	9958.17189973254
18	10244.838959009387
19	10498.585094188897
20	10643.633604741897
21	10679.810161716145
22	11256.765069487647
23	12008.548867630549
24	12756.009123590311
25	13800.151681233086
26	14361.783559390968
27	14041.839652780332
28	13045.40262140297
29	12129.643023187728
30	11392.20080984848
31	10842.821329746492
32	11449.521962045263
33	12199.121774076206
34	13095.478255467426
35	13852.426109664482
36	14241.234906261865
37	14165.825429690289
38	13652.165562577164
39	12846.457735616408
40	11991.123671443791
41	11337.036719769107
42	10783.677474714063
43	11246.418307599923
44	11871.316249831876
45	12642.901092658904
46	13215.12536736074
47	13575.074493179167
48	14590.37264168102
49	15694.25780051889
50	16972.117221670018
51	17993.222485024977
52	17808.467717207906
53	16602.15606795671
54	15522.142330757328
55	14419.673058097616
56	13410.466816715341
57	12509.638550216418
58	11732.05752357168
59	11090.425954514663
60	10598.789054653354
61	10573.400815624773
62	10460.241228142531
63	10223.178048092643
64	9936.305980471963
65	9740.291616575425
66	9802.084858611657
67	9967.209886810568
68	10532.680368271536
69	11132.551107850626
70	11762.41493915805
71	12531.660039936238
72	13419.233902975811
73	14412.687546322359
74	15391.698453415016
75	16528.677832424415
76	16725.46778223002
77	15789.169067266484
78	14601.267847201016
79	13612.730190726761
80	12730.293753548218
81	11965.756339380845
82	11341.226083788957
83	11386.70421211834
84	11420.155691803095
85	11440.238022895757
86	11447.52582804878
87	12151.938604014049
88	12981.896972958722
89	13913.532782231978
90	14934.50210065513
91	16036.754762461904
92	17214.381882783713
93	18461.91878702618
94	20165.41383007223
