"nt"	"nds"
1	5964.277147289487
2	6000.8883783693345
3	6119.987851607234
4	6313.113133505282
5	6575.349029461115
6	6904.310854178981
7	7299.3714010404665
8	7762.766028450438
9	8158.685618883641
10	8695.39920303616
11	9151.63396825445
12	9389.459311901308
13	10103.206563904438
14	10975.430449822426
15	11460.333740577318
16	10929.880917202434
17	10077.488629499503
18	9363.90631697322
19	8969.72068067026
20	8307.034436877631
21	7764.309516497046
22	7298.333911354372
23	6901.542277976449
24	6571.269206177544
25	6307.736003698305
26	6112.942825629694
27	5991.354319328865
28	5951.992767928442
29	6095.062696831647
30	6335.759732216728
31	6617.999253659828
32	6901.565578098337
33	7158.0715819700945
34	7368.559776642962
35	7521.727102209643
36	7614.1339715429995
37	7652.591767258362
38	7661.404247380228
39	8169.902639087695
40	8765.551375304573
41	9437.538802724295
42	10176.654073550528
43	10886.49596984266
44	10905.389917583207
45	10215.181535319663
46	9455.933513990522
47	8784.352179334252
48	8188.983303003258
49	7680.752513718715
50	7710.9308483850855
51	7721.286406556148
52	7690.498544519022
53	7609.762335355327
54	7477.458300421564
55	7297.055087164309
56	7076.097257924818
57	6826.561483136284
58	6565.51830113167
59	6316.545868552581
