"nt"	"nds"
1	11296.414789275334
2	10394.956254789297
3	9575.241186137146
4	8845.468240070451
5	8217.831202788542
6	7715.592856397752
7	7690.539553317375
8	7637.5116231960765
9	7560.31757154489
10	7477.882901922521
11	7781.919162857631
12	8188.677141356579
13	8685.477222592357
14	9198.720089156961
15	9719.35413506421
16	9973.949558118256
17	10713.791257719477
18	11526.874681549481
19	12410.47430616831
20	13419.02842144968
21	14260.475993528908
22	14156.411078853358
23	13206.945438513405
24	12308.85636470301
25	11421.896166160192
26	10606.1418679181
27	9864.950110468502
28	9248.863567164519
29	8596.775328714999
30	8096.865210266944
31	7690.396561408005
32	7389.234461357888
33	7298.886508033627
34	7190.071379705329
35	7367.0271330706155
36	7641.558063729764
37	8000.544319289506
38	8440.239042465097
39	8968.391254188227
40	9583.235549501158
41	10271.710853916791
42	11028.089082084447
43	11850.802169958495
44	12740.413767162101
45	13555.66247171574
46	14584.045955018959
47	15083.73008103104
48	14734.452468786383
49	13749.715757738568
50	12825.394217861909
51	11939.656712469336
52	11120.898586932106
53	10368.163683565735
54	9681.981369386542
55	9064.170255329893
56	8956.15423944948
57	8749.305459586352
58	8497.911943890058
59	8065.049551774154
60	7706.657212772313
61	7427.706334457565
62	7241.062152236285
63	7314.894234851409
64	7406.522013895982
65	7499.526020025783
66	7581.3867316419155
67	7644.42627815529
68	7686.139246644243
69	7709.9028001177185
70	8220.658835671771
71	8852.178090396315
72	9582.92839443852
73	10401.61949615095
74	11300.09722327382
75	12558.326433523596
