"nt"	"nds"
1	11524.77097318559
2	10632.382287560005
3	9806.091209874305
4	9049.407751732804
5	8365.42180130838
6	7757.8589164816385
7	7231.806005661634
8	6794.857989275914
9	6459.5854322919995
10	6503.584022944212
11	6528.507443936301
12	6507.218728506479
13	6468.85189299099
14	6816.761523968438
15	7267.91049790478
16	7806.654007225262
17	8425.56479486342
18	9123.189444471966
19	9723.345170673476
20	10586.16038726581
21	11300.110073002636
22	11585.677526537746
23	11341.456528452996
24	10651.55951211689
25	9782.39022038259
26	9146.055364098655
27	8448.607561414363
28	7829.049618287924
29	7288.359161898683
30	6832.682030618126
31	6477.437098422621
32	6510.596158829227
33	6552.358933384592
34	6589.055013689328
35	6611.905678240255
36	6616.474557890768
37	6602.346851005184
38	6573.177186341987
39	6537.074107586423
40	6507.200934389269
41	6874.978714504848
42	7343.727500706718
43	7897.990610521498
44	8530.46080197767
45	9236.944542784053
46	10015.337417106282
47	10882.796343250768
48	11666.402185795638
49	11639.680919468014
50	10827.98685734041
51	9989.023001569642
52	9209.916640966258
53	8503.217095868189
54	7871.481475713419
55	7319.699346418417
56	6856.691403383095
57	6498.288893182473
58	6531.442271110004
59	6518.293276171352
60	6461.914189502196
61	6795.220102365748
62	7230.920651074937
63	7756.391159698358
64	8363.739107408852
65	9047.704042993133
66	9804.466856398722
67	10630.886450603715
68	11523.424356032274
