"nt"	"nds"
1	18434.647899407086
2	17653.240607806634
3	16879.87082352777
4	16207.760524810026
5	15645.03415821415
6	15211.566373473166
7	15608.822658508017
8	15802.867126302348
9	16506.312495217782
10	17363.852806359344
11	18359.16591519177
12	19480.780300441857
13	20732.4906345365
14	21901.487719172528
15	21853.42686650282
16	20626.864350185362
17	19425.444016924303
18	18295.422639646804
19	17289.7712973976
20	16419.441293291864
21	15699.809342118022
22	15135.127679645973
23	14772.560640533226
24	14583.058692626997
25	14509.047111058051
26	14547.456234852169
27	14959.431792795236
28	15625.313273655334
29	16237.79236338233
30	17061.825270476453
31	18057.93226220057
32	19202.36974300153
33	20369.801691590754
34	21687.652101604068
35	21865.09452101431
36	20715.70340448323
37	19358.532891302446
38	18208.883873434366
39	17207.933449956974
40	16388.548709254632
41	16364.769459066096
42	17217.17738136932
43	17299.953612806115
44	16455.58840354936
45	16570.671068435713
46	17450.45328496794
47	18506.83836684521
48	19705.7039794591
49	21027.776409885744
50	22441.02467580382
51	23803.528037884902
52	23800.617709340357
53	22439.213601143972
54	21030.739689803595
55	19714.79820532184
56	18525.24412515324
57	17480.332000588765
58	16604.66471088167
59	16401.670451654867
60	16193.806025026324
61	15990.813511459823
62	16652.39209161192
63	17482.251492474912
64	18453.272898827785
65	19505.28308647412
66	20693.446521808706
67	21326.082741721333
68	22566.669322275433
69	24068.02492957826
70	24947.614241767522
71	24766.679265543353
72	23632.940041010457
73	22139.472672980773
74	21158.51722866306
75	20290.170352511337
76	19104.673996761445
77	18293.254162742745
78	17324.494078482552
79	16494.36667097975
80	15822.133095995072
81	15551.499666438483
82	15179.180908076283
83	14783.149890243743
84	14523.285573666953
85	14490.346861322856
86	14568.862557945527
87	14758.021350021943
88	15080.341873478217
89	15529.836430197398
90	16096.50771964149
91	16769.150217483082
92	17541.093507631293
93	18135.003644379336
94	19074.774779087686
95	19944.239853684427
96	20466.85605266878
97	21570.82612538365
98	22758.453802294076
99	24032.07554006021
100	24660.123971429635
101	25831.657656634477
102	27282.3064765107
103	28745.73368284319
104	29992.761559664887
105	30850.313600329537
106	31208.25998439228
107	31021.576006903502
108	30310.55519024935
109	29161.63597553479
110	27728.82354252039
111	26230.459913526607
112	24936.0386292466
113	24129.783309127448
114	22859.24347705005
115	21675.089125767845
116	20575.351430290422
117	20234.048597947225
